 D(z_c), D(G(z_mis))
0.570852637,0.716651022
0.715565562,0.522902608
0.723913491,1.655880332
0.728087604,0.39939031
0.666545808,0.653443575
0.718484581,0.412408501
0.715257525,0.414582163
0.667094946,0.56348151
0.697865665,1.821089864
0.683298588,1.18556869
0.205770046,3.311357737
0.468117237,1.388199449
0.372779906,1.827996135
0.295047313,1.493059039
0.37399736,2.144455671
0.596698403,0.396616936
0.238681912,1.061848879
0.22816506,2.727687597
0.092717163,2.964599848
0.084137708,2.073625326
0.471342266,0.542765141
0.10787835,2.37350297
0.085493907,2.726014614
0.060058858,2.14926672
0.033585072,5.099953175
0.07220798,3.03478694
0.149960771,1.558781862
0.135768205,6.356012821
-0.020898886,4.101792812
0.044494737,4.020720005
0.016758438,3.709928989
0.255091369,2.976393938
0.969203353,2.46603179
0.019457467,2.853450298
0.155506328,1.483023405
0.037508182,3.069419384
0.157894552,1.338388085
0.004425809,2.570335388
0.05972831,4.406420708
0.092351973,3.007936478
0.089696981,8.872748375
-0.00051596,5.192874908
0.018830564,3.070500135
0.035033725,3.02543354
-0.002529439,4.358864307
0.178077996,2.897660255
1.704292774,6.422398567
0.013226211,2.420888901
0.076964974,3.478426695
0.065494791,3.728271961
