D(z_c), D(G(z_mis))
-0.450041592,0.858199656
-0.792003334,4.735368729
-0.772297919,5.40662384
-0.784204185,6.754012108
-0.86998719,8.545392036
-0.748606443,9.308483124
-0.621312857,9.507502556
-0.557968318,10.05570316
-0.521093011,10.59173012
-0.549234033,11.81094551
-0.513013601,11.66406059
-0.593169987,12.51372623
-0.561195612,12.30368328
-0.594468236,13.03447437
-0.570875347,13.15379333
-0.579649389,14.10828114
-0.651481628,14.08082962
-0.533083141,15.46815014
-0.615263641,15.06096649
-0.704416156,16.24871445
-0.546474993,17.20907402
-0.701657593,17.26396942
-0.703296602,17.62582588
-0.73956877,18.34781647
-0.687565565,18.74680328
-0.663778067,19.9659462
-0.803863764,18.85647202
-0.713857889,19.84780693
-0.88832289,20.62431717
-0.960932255,21.70239067
-0.942166328,22.4597702
-1.00745523,23.07433891
-0.923442006,23.53646851
-0.891035318,23.89442825
-0.952110231,24.60987663
-0.922910571,24.43240547
-1.002321005,25.92580223
-0.931557119,26.17283249
-1.042886853,27.34540176
-1.052753925,27.98608971
-0.865047634,26.47905731
-1.374070764,29.11986923
-1.054489732,28.84999466
-0.980054379,29.52736855
-0.90525651,30.08047295
-0.898985088,31.17531586
-1.102118015,31.94613838
-1.123511553,31.996521
-1.329946518,32.01097107
-1.049730539,33.82990265
